condition,param_source,waveform_mismatch,xor_score_on_twin,xor_accuracy_twin,xor_separation_twin,xor_accuracy_specimen,xor_separation_specimen,transfer_success_75,transfer_success_100,success,error_message,duration_seconds,num_nodes,num_edges,network_density,specimen_idx,specimen_seed,true_tau_v,true_tau_w,true_a,true_b,true_v_scale,true_R_off,true_R_on,true_alpha,ml_abs_err_tau_v,ml_rel_err_tau_v,ml_abs_err_tau_w,ml_rel_err_tau_w,ml_abs_err_a,ml_rel_err_a,ml_abs_err_b,ml_rel_err_b,ml_abs_err_v_scale,ml_rel_err_v_scale,ml_abs_err_R_off,ml_rel_err_R_off,ml_abs_err_R_on,ml_rel_err_R_on,ml_abs_err_alpha,ml_rel_err_alpha,waveform_mismatch_before,opt_n_evals,opt_success,opt_final_mismatch,refined_abs_err_tau_v,refined_rel_err_tau_v,refined_abs_err_tau_w,refined_rel_err_tau_w,refined_abs_err_a,refined_rel_err_a,refined_abs_err_b,refined_rel_err_b,refined_abs_err_v_scale,refined_rel_err_v_scale,refined_abs_err_R_off,refined_rel_err_R_off,refined_abs_err_R_on,refined_rel_err_R_on,refined_abs_err_alpha,refined_rel_err_alpha
oracle,true,0.0,0.0001534401626803,0.75,0.0004897124621308,0.75,0.0004897124621308,True,False,True,,89.53862690925598,30,62,0.1425287356321839,4,259178,68.0639843539588,792.0266564016792,0.6395219165938208,0.7931821387275586,4.665787036249485,111.70068366151742,29.06147270249495,0.0136250720649772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,0.6822608077028154,0.0,0.5,0.0,0.5,0.0,False,False,True,,100.68520402908324,30,62,0.1425287356321839,4,259178,68.0639843539588,792.0266564016792,0.6395219165938208,0.7931821387275586,4.665787036249485,111.70068366151742,29.06147270249495,0.0136250720649772,3.2449923074169646,4.767561491165421,215.4397842656988,27.20107745419246,0.0644385280780347,10.076046871257658,0.0839238888133014,10.580657922700263,1.3006485735604087,27.876295326544454,62.11208896323003,55.605827043449864,3.5338156094788538,12.159795360829436,0.0051224904724374,37.596061220172125,,,,,,,,,,,,,,,,,,,,
ml_refine,ml_refined,6.67978361746867e-07,0.0,0.5,0.0,0.25,-0.0004904021180254,False,False,True,,7952.807157993317,30,62,0.1425287356321839,4,259178,68.0639843539588,792.0266564016792,0.6395219165938208,0.7931821387275586,4.665787036249485,111.70068366151742,29.06147270249495,0.0136250720649772,3.2449923074169646,4.767561491165421,215.4397842656989,27.20107745419248,0.0644385280780347,10.076046871257658,0.0839238888133016,10.580657922700276,1.300648573560406,27.876295326544405,62.11208896323003,55.605827043449864,3.533815609478843,12.1597953608294,0.0051224904724374,37.596061220172125,0.6822608295919871,5359.0,True,6.67978361746867e-07,3.917346677364222,5.755388425377454,1.6504190773500795,0.2083792337050907,0.0871080567464108,13.620808681075264,0.1357451299517889,17.11399227325522,3.0395274131798784,65.14500960931142,24.91533033033164,22.30544121449549,5.746747934966638,19.774455320199593,0.0069646283877027,51.11626788741
random,random,0.0301527373971119,0.0,0.5,0.0,0.5,5.0224499670292744e-08,False,False,True,,100.90179705619812,30,62,0.1425287356321839,4,259178,68.0639843539588,792.0266564016792,0.6395219165938208,0.7931821387275586,4.665787036249485,111.70068366151742,29.06147270249495,0.0136250720649772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,true,0.0,0.0,0.5,0.0,0.5,0.0,False,False,True,,84.92651414871216,30,66,0.1517241379310344,0,121958,65.13744157587692,805.7985808450227,0.7660676596087808,0.8758514058347381,1.8840228794100968,193.60194919147833,31.198197652960687,0.0087369127498029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,0.0674152635814344,0.0,0.5,0.0,0.5,0.0,False,False,True,,103.9446017742157,30,66,0.1517241379310344,0,121958,65.13744157587692,805.7985808450227,0.7660676596087808,0.8758514058347381,1.8840228794100968,193.60194919147833,31.198197652960687,0.0087369127498029,5.069947326543911,7.783460946390222,88.8488989555525,11.026192037018438,0.01889927682979,2.467050604508565,0.0320087641619099,3.654588431898339,2.975788282499436,157.94862763414164,26.09726840894723,13.47985829580814,8.888987816107289,28.49199147642184,0.0063229436606489,72.37045589611809,,,,,,,,,,,,,,,,,,,,
ml_refine,ml_refined,0.0003902763429001,0.0,0.5,0.0,0.5,0.0,False,False,True,,9410.367242097856,30,66,0.1517241379310344,0,121958,65.13744157587692,805.7985808450227,0.7660676596087808,0.8758514058347381,1.8840228794100968,193.60194919147833,31.198197652960687,0.0087369127498029,5.069947326543911,7.783460946390222,88.8488989555525,11.026192037018438,0.0188992768297902,2.467050604508579,0.03200876416191,3.6545884318983513,2.975788282499436,157.94862763414164,26.09726840894723,13.47985829580814,8.888987816107289,28.49199147642184,0.0063229436606489,72.37045589611807,0.0674152498371598,7645.0,True,0.0003902763429001,1.1787785780798288,1.8096789642941231,5.189154132305248,0.6439765787205601,0.0014279151713474,0.1863954382162872,0.0259689337229948,2.9649930966634557,1.650523064873245,87.60631746162399,59.058018003257615,30.504867461234547,4.357813285006571,13.968157178397291,0.0038311832401161,43.85053743786085
random,random,0.1741724610446907,0.0,0.5,0.0,0.5,0.0,False,False,True,,114.57675695419312,30,66,0.1517241379310344,0,121958,65.13744157587692,805.7985808450227,0.7660676596087808,0.8758514058347381,1.8840228794100968,193.60194919147833,31.198197652960687,0.0087369127498029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,true,0.0,0.0,0.5,0.0,0.5,0.0,False,False,True,,113.18408989906312,30,64,0.1471264367816092,3,365838,51.899419483124966,710.3436898065671,0.6061125156546476,0.9481365938729512,1.5993953698934713,242.55056602313385,21.81808928986082,0.0057193027919145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,0.2660368190266763,0.0001287880427027,0.75,0.0011346089697155,0.75,0.0016221288260989,True,False,True,,103.31908416748048,30,64,0.1471264367816092,3,365838,51.899419483124966,710.3436898065671,0.6061125156546476,0.9481365938729512,1.5993953698934713,242.55056602313385,21.81808928986082,0.0057193027919145,4.947770931572961,9.533383958508802,177.76361409270908,25.02501488273805,0.0504697841797012,8.326801190842142,0.0846004705796449,8.922814615259796,4.545904833750466,284.22645951319856,47.443082171851955,19.56007893517239,8.699469159661302,39.872736077142186,0.0011423362741885,19.973348077149712,,,,,,,,,,,,,,,,,,,,
