model,parameter,r2,rmse,mae,mape
random_forest,tau_v,0.9119063708232742,10.56604505886153,8.517261639600031,10.01602882950284
random_forest,tau_w,0.8155904075340225,145.75655933461445,110.66634156174705,13.003708437487644
random_forest,a,0.7170173921386829,0.04446459715669846,0.03682447632372833,5.725160811082235
random_forest,b,0.34202507739925025,0.06776317574007155,0.05706068555506314,6.7775278207268075
random_forest,v_scale,-0.007058193136063817,2.500703105481972,2.1165531086008964,65.235892677175
random_forest,R_off,-0.24421492684721136,81.1952471957331,71.0477170400068,47.635214875105994
random_forest,R_on,0.016572188267922505,13.537764060402022,11.612715050179773,80.38320537952698
random_forest,alpha,0.3961267649286695,0.0033101381199266092,0.0025623963959378318,416.3104935317838
random_forest,num_nodes,0.14407950561165295,32.33078300960315,27.172653736888112,65.412208904439
random_forest,num_edges,0.041170530130158034,385.97342649136255,315.7066179645875,306.57280852167384
random_forest,network_density,-0.14027325629260834,0.020989398727299532,0.014860783074327694,9.914307288960709
mlp,tau_v,0.8052508128174064,15.71006689547737,10.168213006989085,13.009361352268419
mlp,tau_w,0.6982455892891722,186.45033472765758,127.96703598417352,15.169951026409706
mlp,a,-4.338664970996024,0.193130481600748,0.11009042124991855,16.647928909114064
mlp,b,-4.4675050157894,0.19533662301905708,0.11764012618202462,14.212455501916304
mlp,v_scale,-0.4256356095299023,2.9753572392509153,2.484056953698367,77.42722019042718
mlp,R_off,-0.36115538763989474,84.9252351287779,74.83285291458216,48.3951797299393
mlp,R_on,0.00246140048081267,13.634541952615066,11.907211560483727,80.62348285824055
mlp,alpha,-1845.7567428794334,0.18305351463524522,0.09773603683969567,17064.44088256598
mlp,num_nodes,-0.14452010201378407,37.38619118682378,30.844282055006715,73.19030498624693
mlp,num_edges,-0.10119967148120157,413.63735760051304,327.5553818041487,294.6999825958163
mlp,network_density,-60.80205382687038,0.1545243702791371,0.08090770117043891,52.767995976262384
