parameter,feature,importance
tau_v,step_baseline,0.6396334162802981
tau_v,step_peak_amplitude,0.00044212060069954187
tau_v,step_time_to_peak,0.003968150434289926
tau_v,step_peak_to_baseline_ratio,0.0004129080772735347
tau_v,step_half_decay_time,0.0028703355892811065
tau_v,step_decay_rate,0.007671730728684115
tau_v,step_area_under_curve,0.000558799335157386
tau_v,step_response_duration,0.0015263093328356091
tau_v,step_activation_speed,0.004395695341869019
tau_v,step_latency,0.0007119419119737691
tau_v,step_initial_slope,0.004176350562215284
tau_v,step_settling_deviation,0.0020583354069985123
tau_v,step_asymmetry_index,0.003709614504015607
tau_v,pp_delay_200_peak1_amplitude,0.048288360182424044
tau_v,pp_delay_200_peak2_amplitude,0.0014742722896200577
tau_v,pp_delay_200_time_to_peak1,4.950728827882646e-05
tau_v,pp_delay_200_time_to_peak2,0.0005207485715749098
tau_v,pp_delay_200_auc1,0.035066962003159875
tau_v,pp_delay_200_auc2,0.0004974084637417211
tau_v,pp_delay_200_peak_width1,0.0008680645018732851
tau_v,pp_delay_200_peak_width2,0.0013449254888382278
tau_v,pp_delay_200_peak_ratio,0.0012361349389911384
tau_v,pp_delay_200_auc_ratio,0.0009932081644587966
tau_v,pp_delay_200_latency_change,0.0004570952824211365
tau_v,pp_delay_200_width_ratio,0.0022465512426077167
tau_v,pp_delay_200_baseline_shift,0.057523543179228386
tau_v,pp_delay_200_recovery_fraction,0.001616639511434762
tau_v,pp_delay_200_effective_ipi,0.0006480073210153305
tau_v,pp_delay_200_waveform_correlation,0.001818748785035986
tau_v,pp_delay_200_total_response,0.0016202827751513817
tau_v,pp_delay_200_facilitation_index,0.0008668154625682888
tau_v,pp_delay_800_peak1_amplitude,0.004409077982982454
tau_v,pp_delay_800_peak2_amplitude,0.0010032725770418261
tau_v,pp_delay_800_time_to_peak1,0.0008078039815198742
tau_v,pp_delay_800_time_to_peak2,0.0004851601405125056
tau_v,pp_delay_800_auc1,0.005282905614277004
tau_v,pp_delay_800_auc2,0.0005770620489233956
tau_v,pp_delay_800_peak_width1,0.0010227168316553335
