specimen_idx,specimen_seed,num_nodes,num_edges,network_density,tuned_score,true_tau_v,true_tau_w,true_a,true_b,true_v_scale,true_R_off,true_R_on,true_alpha,condition,param_source,waveform_mismatch,abs_err_tau_v,rel_err_tau_v,abs_err_tau_w,rel_err_tau_w,abs_err_a,rel_err_a,abs_err_b,rel_err_b,abs_err_v_scale,rel_err_v_scale,abs_err_R_off,rel_err_R_off,abs_err_R_on,rel_err_R_on,abs_err_alpha,rel_err_alpha,mean_rel_err_all,median_rel_err_all,mean_rel_err_core,waveform_mismatch_before,success,error_message,duration_seconds,initial_abs_err_tau_v,initial_rel_err_tau_v,initial_abs_err_tau_w,initial_rel_err_tau_w,initial_abs_err_a,initial_rel_err_a,initial_abs_err_b,initial_rel_err_b,initial_abs_err_v_scale,initial_rel_err_v_scale,initial_abs_err_R_off,initial_rel_err_R_off,initial_abs_err_R_on,initial_rel_err_R_on,initial_abs_err_alpha,initial_rel_err_alpha,initial_mean_rel_err_all,initial_median_rel_err_all,initial_mean_rel_err_core,opt_success,opt_n_evals,opt_final_mismatch
12,42588,20,32,0.1684210526315789,0.0588716666592192,69.69359359104259,633.550452563527,0.7286862546311096,0.8759664685565345,3.633544591176372,243.34834280199212,5.159242452678733,0.0128194598565474,oracle,true,0.029139531149428563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,4.799675941467285,,,,,,,,,,,,,,,,,,,,,,
12,42588,20,32,0.1684210526315789,0.0588716666592192,69.69359359104259,633.550452563527,0.7286862546311096,0.8759664685565345,3.633544591176372,243.34834280199212,5.159242452678733,0.0128194598565474,ml_only,,,,,,,,,,,,,,,,,,,,,,,False,Input X contains infinity or a value too large for dtype('float32').,0.0006656646728515625,,,,,,,,,,,,,,,,,,,,,,
12,42588,20,32,0.1684210526315789,0.0588716666592192,69.69359359104259,633.550452563527,0.7286862546311096,0.8759664685565345,3.633544591176372,243.34834280199212,5.159242452678733,0.0128194598565474,ml_refine,,,,,,,,,,,,,,,,,,,,,,,False,Input X contains infinity or a value too large for dtype('float32').,0.00022172927856445312,,,,,,,,,,,,,,,,,,,,,,
13,83156,20,29,0.1526315789473684,0.0583744112206138,97.03349824872694,1027.6041421710893,0.6028912132844525,0.8175868314002301,1.0,98.3351855689774,15.1626206110998,0.0094311094221534,oracle,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,1.201380968093872,,,,,,,,,,,,,,,,,,,,,,
13,83156,20,29,0.1526315789473684,0.0583744112206138,97.03349824872694,1027.6041421710893,0.6028912132844525,0.8175868314002301,1.0,98.3351855689774,15.1626206110998,0.0094311094221534,ml_only,ml_predicted,0.31175669758462016,2.876090095556947,2.9640177335271085,66.38299768762545,6.459977627899311,0.01336756562716701,2.217243398212003,0.017489256442293377,2.1391313764437085,4.135200930166515,413.52009297529946,72.73538678997055,73.96679669544754,10.958094597722074,72.27045296924416,0.008221041174460382,87.1693956596453,82.58838855446484,39.365215298571734,20.189953159145485,0.31175669758462016,True,,1.4643158912658691,,,,,,,,,,,,,,,,,,,,,,
13,83156,20,29,0.1526315789473684,0.0583744112206138,97.03349824872694,1027.6041421710893,0.6028912132844525,0.8175868314002301,1.0,98.3351855689774,15.1626206110998,0.0094311094221534,ml_refine,ml_refined,0.0036203131579608215,1.1518086115236201,1.1870216289327118,16.532056790395472,1.6087962389354973,0.011242390199083796,1.8647460685274133,0.024303154309602615,2.9725471807083252,5.009800247861041,500.98002473600616,112.82800880100369,114.73818669081123,1.8719522294005735,12.345835706117086,0.004241041174460381,44.96863454398763,85.08322409925324,7.6591914434127055,10.520349132218318,0.3117567661698931,True,,12713.093901634216,2.8760900955569184,2.964017733527079,66.38299768762545,6.459977627899311,0.01336756562716701,2.217243398212003,0.017489256442293377,2.1391313764437085,4.135200930166515,413.52009297529946,72.73538678997058,73.96679669544757,10.95809459772208,72.27045296924422,0.008221041174460382,87.1693956596453,82.58838855446483,39.36521529857176,20.18995315914548,True,11434.0,0.0036203131579608215
8,33381,20,22,0.1157894736842105,0.1345046083085507,91.70544291730324,1160.3970144953864,0.6501332341559709,0.7614386830534247,1.817103829894262,167.3893002323781,24.86675376348567,0.0102204869318638,oracle,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,1.091773509979248,,,,,,,,,,,,,,,,,,,,,,
8,33381,20,22,0.1157894736842105,0.1345046083085507,91.70544291730324,1160.3970144953864,0.6501332341559709,0.7614386830534247,1.817103829894262,167.3893002323781,24.86675376348567,0.0102204869318638,ml_only,ml_predicted,0.13510823530163338,3.5528343031713803,3.8741804086496017,100.56482520767713,8.666415369174349,0.009665811876200414,1.4867432346020915,0.08278387315439428,10.87203408310606,2.6707185145352037,146.97665980615085,0.34421457605748174,0.20563714381947978,8.064026437233778,32.42894715530807,0.00897864778202543,87.84951004813408,36.545015906118074,9.769224726140205,22.549776628733234,0.13510823530163338,True,,1.7021403312683105,,,,,,,,,,,,,,,,,,,,,,
8,33381,20,22,0.1157894736842105,0.1345046083085507,91.70544291730324,1160.3970144953864,0.6501332341559709,0.7614386830534247,1.817103829894262,167.3893002323781,24.86675376348567,0.0102204869318638,ml_refine,ml_refined,0.008203760750746119,2.123788346897186,2.3158803658033995,1.8625107383822979,0.1605063366344556,0.0043601814240088466,0.6706596731666471,0.024625861000479254,3.234122660867929,3.53336575009933,194.4504046370585,31.34180427388543,18.723899454957078,3.2895876329395257,13.228858355274046,0.004998647782025429,48.90811725939717,35.2115560928949,8.231490508070987,11.05785725917392,0.13510824053945386,True,,13068.712963104248,3.5528343031714087,3.8741804086496328,100.5648252076769,8.666415369174327,0.009665811876200081,1.4867432346020402,0.0827838731543945,10.872034083106088,2.670718514535203,146.9766598061508,0.34421457605748174,0.20563714381947978,8.064026437233782,32.428947155308094,0.00897864778202543,87.84951004813408,36.54501590611807,9.769224726140209,22.549776628733234,True,12028.0,0.008203760750746119
15,31471,20,32,0.1684210526315789,0.0508791963444006,55.77272378333191,707.8379456467349,0.6974829132218899,0.8756683918881746,5.38371898729695,250.0,15.300154416399325,0.0118331652411437,oracle,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,1.9557607173919678,,,,,,,,,,,,,,,,,,,,,,
