specimen_idx,specimen_seed,num_nodes,perturbed_param,perturbation_pct,direction,xor_accuracy_twin,xor_accuracy_specimen,accuracy_drop,baseline_accuracy,baseline_xor_score
0,121958,30,none,0.0,none,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_v,5.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_v,-5.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_v,10.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_v,-10.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_v,20.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_v,-20.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_v,30.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_v,-30.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_w,5.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_w,-5.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_w,10.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_w,-10.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_w,20.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_w,-20.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_w,30.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,tau_w,-30.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,a,5.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,a,-5.0,down,0.75,0.75,0.0,0.75,0.000537880028317006
0,121958,30,a,10.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,a,-10.0,down,0.75,0.75,0.0,0.75,0.000537880028317006
0,121958,30,a,20.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,a,-20.0,down,0.75,0.75,0.0,0.75,0.000537880028317006
0,121958,30,a,30.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,a,-30.0,down,0.75,0.75,0.0,0.75,0.000537880028317006
0,121958,30,b,5.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,b,-5.0,down,0.75,0.75,0.0,0.75,0.000537880028317006
0,121958,30,b,10.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,b,-10.0,down,0.75,0.75,0.0,0.75,0.000537880028317006
0,121958,30,b,20.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,b,-20.0,down,0.25,0.75,0.0,0.75,0.000537880028317006
0,121958,30,b,30.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,b,-30.0,down,0.25,0.75,0.0,0.75,0.000537880028317006
0,121958,30,v_scale,5.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,v_scale,-5.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,v_scale,10.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,v_scale,-10.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,v_scale,20.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,v_scale,-20.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,v_scale,30.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,v_scale,-30.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,R_off,5.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,R_off,-5.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,R_off,10.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,R_off,-10.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,R_off,20.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,R_off,-20.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,R_off,30.0,up,0.5,0.75,0.0,0.75,0.000537880028317006
0,121958,30,R_off,-30.0,down,0.5,0.75,0.0,0.75,0.000537880028317006
