specimen_idx,specimen_seed,num_nodes,tuned_score,perturbed_param,perturbation_pct,direction,xor_accuracy_twin,xor_accuracy_specimen,accuracy_drop,baseline_accuracy,baseline_xor_score,baseline_twin_accuracy,twin_accuracy_drop
0,85088,40,2.1722570051031553,none,0.0,none,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_v,5.0,up,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_v,-5.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_v,10.0,up,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_v,-10.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_v,20.0,up,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_v,-20.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_v,30.0,up,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_v,-30.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_w,5.0,up,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_w,-5.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_w,10.0,up,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_w,-10.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_w,20.0,up,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_w,-20.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_w,30.0,up,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,tau_w,-30.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,a,5.0,up,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,a,-5.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,a,10.0,up,0.5,1.0,0.0,1.0,2.1722570051031553,0.75,0.25
0,85088,40,2.1722570051031553,a,-10.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,a,20.0,up,0.5,1.0,0.0,1.0,2.1722570051031553,0.75,0.25
0,85088,40,2.1722570051031553,a,-20.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,a,30.0,up,0.5,1.0,0.0,1.0,2.1722570051031553,0.75,0.25
0,85088,40,2.1722570051031553,a,-30.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,b,5.0,up,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,b,-5.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,b,10.0,up,0.5,1.0,0.0,1.0,2.1722570051031553,0.75,0.25
0,85088,40,2.1722570051031553,b,-10.0,down,0.75,1.0,0.0,1.0,2.1722570051031553,0.75,0.0
0,85088,40,2.1722570051031553,b,20.0,up,0.5,1.0,0.0,1.0,2.1722570051031553,0.75,0.25
